gen,inventor,assignee,location,id,similarity,claims,root
1,16.0,3.0,3.0,4.0,0.23236871883273125,15.75,4962875
2,13.0,4.0,4.0,5.0,0.2319753333926201,17.2,4962875
3,,,,,,,4962875
1,3.0,1.0,1.0,1.0,0.437036395072937,9.0,6207286
2,5.0,1.0,1.0,1.0,0.20014622807502747,20.0,6207286
3,3.0,2.0,1.0,2.0,0.3731722086668015,1.5,6207286
1,49.0,20.0,19.0,37.0,0.2925004651014869,16.59459459459459,4651564
2,647.0,206.0,178.0,377.0,0.26135261714458463,19.823529411764707,4651564
3,21894.0,3022.0,1715.0,18735.0,0.24314503860264636,21.485384562227907,4651564
1,8.0,4.0,4.0,5.0,0.3353739202022553,9.8,5291810
2,27.0,12.0,13.0,17.0,0.294415344210232,12.411764705882351,5291810
3,51.0,24.0,25.0,30.0,0.2394858443843467,16.885714285714286,5291810
1,5.0,4.0,4.0,4.0,0.36446797102689743,6.75,4372077
2,54.0,31.0,31.0,38.0,0.3269489850848913,16.525,4372077
3,1621.0,519.0,402.0,1209.0,0.2439718287593825,20.864190365641324,4372077
1,17.0,6.0,6.0,6.0,0.29266464213530224,25.0,6154471
2,35.0,15.0,15.0,17.0,0.28306296160992456,26.411764705882355,6154471
3,244.0,50.0,43.0,157.0,0.20245891311586653,21.52830188679245,6154471
1,14.0,6.0,6.0,6.0,0.2779583384593328,16.5,5423331
2,108.0,32.0,31.0,61.0,0.25543798746601226,17.14516129032258,5423331
3,3087.0,400.0,333.0,2872.0,0.27870881673932224,16.101264594137387,5423331
1,6.0,2.0,2.0,2.0,0.2925461903214455,16.0,5300610
2,3.0,2.0,2.0,2.0,0.3305039629340172,19.5,5300610
3,2.0,2.0,2.0,3.0,0.4801532824834188,12.666666666666664,5300610
1,9.0,5.0,5.0,5.0,0.32839661836624146,13.6,5340206
2,94.0,26.0,25.0,54.0,0.3066898687846131,19.259259259259263,5340206
3,1564.0,306.0,262.0,1216.0,0.23239952692130975,18.978881618084472,5340206
1,261.0,58.0,46.0,168.0,0.186786863548928,24.162650602409638,5970472
2,3587.0,654.0,371.0,2018.0,0.20217373413054854,22.96334841628959,5970472
3,39901.0,3906.0,1620.0,32318.0,0.23691230159087545,22.39209649473544,5970472
1,20.0,6.0,5.0,8.0,0.36325717344880093,16.75,6096830
2,73.0,12.0,11.0,60.0,0.43173446873952814,13.987012987012987,6096830
3,189.0,29.0,30.0,331.0,0.4610454391280365,13.60820895522388,6096830
1,8.0,3.0,3.0,8.0,0.24397766217589376,23.25,5959975
2,35.0,10.0,10.0,18.0,0.24865254566625314,17.62962962962963,5959975
3,79.0,18.0,17.0,38.0,0.2608517589437407,19.55813953488372,5959975
1,1.0,1.0,1.0,1.0,0.5381710529327393,8.0,5436122
2,7.0,3.0,3.0,6.0,0.4035482505957286,8.666666666666666,5436122
3,23.0,5.0,5.0,19.0,0.4689017325872555,17.75,5436122
1,7.0,4.0,3.0,6.0,0.2812368248899777,10.833333333333336,4185381
2,53.0,18.0,18.0,24.0,0.25085959538817404,16.08,4185381
3,699.0,154.0,152.0,558.0,0.2980930261968035,18.05710206995004,4185381
1,17.0,6.0,6.0,9.0,0.2369927962621053,12.111111111111109,4138356
2,249.0,69.0,66.0,121.0,0.2331175678018623,19.47328244274809,4138356
3,4211.0,851.0,606.0,3144.0,0.2764540308657482,22.99374478732277,4138356
1,19.0,6.0,5.0,10.0,0.3348935395479202,12.6,5198935
2,90.0,28.0,23.0,53.0,0.28857798887449393,17.140350877192983,5198935
3,600.0,139.0,115.0,397.0,0.2311130190200643,16.174840085287848,5198935
1,5.0,1.0,1.0,1.0,0.240495502948761,12.0,4692648
2,5.0,1.0,1.0,2.0,0.2769121676683426,8.0,4692648
3,8.0,3.0,3.0,16.0,0.1654149992391467,16.0,4692648
1,7.0,3.0,3.0,3.0,0.2410818338394165,26.33333333333333,6140831
2,25.0,10.0,9.0,14.0,0.21947811331067765,14.642857142857142,6140831
3,99.0,25.0,28.0,120.0,0.20550656869117886,18.776119402985074,6140831
1,1.0,1.0,1.0,1.0,0.2878018319606781,9.0,6103821
2,,,,,,,6103821
3,,,,,,,6103821
1,4.0,1.0,1.0,1.0,0.27050137519836426,11.0,5637587
2,3.0,1.0,2.0,2.0,0.25627443194389343,7.0,5637587
3,,,,,,,5637587
1,13.0,4.0,3.0,15.0,0.4112633506457011,7.6,4588750
2,149.0,40.0,44.0,69.0,0.31718674981065337,15.634408602150538,4588750
3,841.0,155.0,145.0,635.0,0.2618430711122023,20.576543209876547,4588750
1,14.0,5.0,4.0,5.0,0.4186535179615021,17.6,5404011
2,36.0,16.0,17.0,25.0,0.3270897882489058,20.884615384615387,5404011
3,329.0,61.0,61.0,307.0,0.3582348127117801,21.335664335664337,5404011
1,21.0,4.0,2.0,8.0,0.4908839038440159,9.428571428571429,5026598
2,52.0,14.0,10.0,19.0,0.29469755742894976,14.947368421052632,5026598
3,268.0,77.0,59.0,150.0,0.2772417056063811,17.570512820512818,5026598
1,18.0,8.0,7.0,9.0,0.37375027934710187,22.33333333333333,4430375
2,103.0,41.0,39.0,63.0,0.32057163637513536,18.256410256410252,4430375
3,1726.0,411.0,357.0,1349.0,0.3006125734398319,19.8234126984127,4430375
1,4.0,4.0,4.0,4.0,0.2777784839272499,10.25,4183971
2,46.0,15.0,16.0,20.0,0.3717216193675995,20.05,4183971
3,525.0,122.0,118.0,345.0,0.31497089259052113,20.7015503875969,4183971
1,9.0,2.0,2.0,6.0,0.22274828950564066,16.5,5073231
2,79.0,18.0,17.0,47.0,0.21101922747127866,16.285714285714285,5073231
3,279.0,60.0,59.0,192.0,0.2265541047424726,17.48695652173913,5073231
1,16.0,7.0,7.0,6.0,0.3687992369135221,22.33333333333333,4820599
2,279.0,56.0,49.0,115.0,0.2988323734707048,16.102564102564102,4820599
3,4401.0,638.0,484.0,3056.0,0.29675616099636465,21.996994124880448,4820599
1,1.0,1.0,1.0,1.0,0.8106334209442139,18.0,6096518
2,,,,,,,6096518
3,,,,,,,6096518
1,5.0,3.0,3.0,3.0,0.2873616963624954,6.0,5305371
2,90.0,25.0,26.0,40.0,0.29668684943746304,18.871794871794872,5305371
3,1465.0,228.0,183.0,1417.0,0.2123467050530947,22.922714420358147,5305371
1,32.0,12.0,10.0,12.0,0.2171956393867731,12.166666666666664,5594323
2,216.0,65.0,55.0,129.0,0.21233604605367876,18.546875,5594323
3,3387.0,622.0,447.0,2754.0,0.22093874559123855,20.740072977033694,5594323
1,23.0,11.0,10.0,16.0,0.18261893838644028,15.75,5107846
2,258.0,79.0,67.0,131.0,0.2629547058885929,19.81879194630873,5107846
3,3297.0,632.0,493.0,2371.0,0.26313102649071024,21.00631874561198,5107846
1,26.0,8.0,10.0,15.0,0.40512222548325855,20.8,5388452
2,223.0,69.0,65.0,108.0,0.27555864839814603,27.046875,5388452
3,3842.0,702.0,469.0,2878.0,0.2356014149074956,20.066956349990125,5388452
1,45.0,13.0,12.0,18.0,0.18150746033472173,15.705882352941178,4695975
2,903.0,177.0,139.0,451.0,0.21442265218610576,20.80993520518359,4695975
3,52804.0,5684.0,2145.0,45306.0,0.22139684624488412,23.65109057146155,4695975
1,99.0,15.0,15.0,55.0,0.3150257370688698,20.454545454545453,5744376
2,898.0,109.0,74.0,446.0,0.2990809077931236,17.244186046511633,5744376
3,8399.0,633.0,451.0,7083.0,0.2626532225357833,19.636467236467237,5744376
1,16.0,8.0,8.0,9.0,0.1777309270368682,14.666666666666664,4474263
2,29.0,20.0,20.0,19.0,0.3090467754574049,13.476190476190474,4474263
3,149.0,72.0,68.0,112.0,0.2637910802055288,15.792592592592593,4474263
1,7.0,4.0,4.0,5.0,0.19478816725313666,22.5,5186357
2,43.0,17.0,19.0,24.0,0.2905662345389525,19.45833333333333,5186357
3,635.0,194.0,168.0,366.0,0.2434916411834916,21.600326264274067,5186357
1,130.0,24.0,25.0,59.0,0.27167841678453697,21.135593220338983,6148233
2,777.0,145.0,117.0,448.0,0.24911448861201926,23.314516129032263,6148233
3,8417.0,1284.0,787.0,8273.0,0.2490392318931143,20.699364686138967,6148233
1,26.0,4.0,5.0,16.0,0.2431195694953203,35.5625,5821336
2,51.0,11.0,10.0,24.0,0.4541392885148525,12.875,5821336
3,87.0,9.0,11.0,28.0,0.3280279996230247,17.95744680851064,5821336
1,6.0,4.0,4.0,3.0,0.3627866506576538,13.333333333333336,5311948
2,33.0,9.0,11.0,15.0,0.2827671229839325,15.333333333333336,5311948
3,370.0,74.0,73.0,260.0,0.2569689668313253,23.284313725490197,5311948
1,16.0,5.0,4.0,7.0,0.3606394869940622,45.57142857142857,5757107
2,88.0,22.0,20.0,41.0,0.27882264825430786,15.840909090909092,5757107
3,362.0,74.0,60.0,243.0,0.26367266229924313,15.786324786324787,5757107
1,24.0,7.0,7.0,20.0,0.2294255994260311,18.85,6092903
2,250.0,68.0,58.0,173.0,0.23334232501894514,23.789719626168228,6092903
3,2259.0,356.0,283.0,1830.0,0.2287792532190762,22.23163327261688,6092903
1,49.0,17.0,15.0,17.0,0.2145848234786707,15.764705882352944,5129641
2,234.0,56.0,53.0,96.0,0.2556009623998155,16.25,5129641
3,1064.0,191.0,172.0,646.0,0.2471485725846611,17.253501400560225,5129641
1,13.0,2.0,2.0,21.0,0.6561576865968249,15.952380952380953,5729777
2,39.0,13.0,11.0,21.0,0.21510553807020188,17.04,5729777
3,319.0,82.0,74.0,254.0,0.2567526305127256,24.509933774834444,5729777
1,15.0,5.0,5.0,5.0,0.3067954510450363,14.0,5416033
2,166.0,21.0,24.0,129.0,0.22523403312115706,16.162790697674414,5416033
3,1147.0,105.0,94.0,849.0,0.22249684409426695,16.798907103825137,5416033
1,10.0,4.0,4.0,7.0,0.22976872537817275,22.285714285714285,5825940
2,28.0,8.0,6.0,13.0,0.2190350336687905,14.142857142857142,5825940
3,24.0,10.0,7.0,15.0,0.30537567380815744,14.0,5825940
1,50.0,19.0,17.0,29.0,0.20676983147859573,19.58620689655172,6236622
2,265.0,68.0,68.0,140.0,0.2301033152681258,18.38888888888889,6236622
3,1167.0,244.0,197.0,837.0,0.34340775727681105,16.905768383971818,6236622
1,5.0,2.0,2.0,2.0,0.3161098510026932,34.5,6038025
2,35.0,10.0,11.0,14.0,0.21270449832081795,22.714285714285715,6038025
3,289.0,50.0,50.0,263.0,0.34499996160999,19.583025830258304,6038025
1,21.0,15.0,16.0,16.0,0.3480968289077282,16.0625,5512816
2,196.0,71.0,63.0,146.0,0.24565852629510976,17.657894736842106,5512816
3,1185.0,233.0,168.0,920.0,0.2709335899582221,18.616200578592093,5512816
1,5.0,2.0,2.0,2.0,0.200723335146904,16.5,4566750
2,68.0,28.0,27.0,44.0,0.2521447551747163,17.714285714285715,4566750
3,742.0,165.0,141.0,545.0,0.22255426825741764,18.71967213114754,4566750
1,12.0,4.0,4.0,3.0,0.16106612980365753,19.0,5801461
2,6.0,3.0,3.0,3.0,0.3262353738149007,9.0,5801461
3,6.0,1.0,1.0,2.0,0.3125655353069305,18.5,5801461
1,18.0,5.0,5.0,11.0,0.20210802216421475,14.272727272727273,5441354
2,52.0,13.0,12.0,24.0,0.2895540601015091,12.32,5441354
3,181.0,29.0,30.0,166.0,0.2351905257346925,13.646067415730338,5441354
1,2.0,1.0,1.0,1.0,0.347831130027771,9.0,4324897
2,7.0,1.0,3.0,4.0,0.5250196009874344,8.75,4324897
3,16.0,5.0,5.0,7.0,0.2856896924121039,12.714285714285715,4324897
1,6.0,2.0,2.0,3.0,0.4339502950509389,32.0,5165921
2,94.0,23.0,23.0,58.0,0.268203691765666,29.43333333333333,5165921
3,1194.0,215.0,181.0,837.0,0.3455793143464065,24.422227614656638,5165921
1,11.0,5.0,5.0,6.0,0.34420837461948395,17.833333333333332,5625899
2,22.0,9.0,9.0,12.0,0.2979552559554577,19.58333333333333,5625899
3,125.0,40.0,39.0,69.0,0.27926946634596045,18.737373737373733,5625899
1,29.0,11.0,11.0,12.0,0.2471043691039085,21.08333333333333,5461226
2,65.0,23.0,23.0,42.0,0.21490966562520372,20.09090909090909,5461226
3,627.0,119.0,115.0,476.0,0.1764032445465907,19.71923076923077,5461226
1,4.0,1.0,1.0,2.0,0.4613951295614242,7.0,5024143
2,8.0,5.0,5.0,5.0,0.4558749369212559,8.285714285714286,5024143
3,75.0,20.0,20.0,33.0,0.2691583764262316,12.75609756097561,5024143
1,1.0,1.0,1.0,1.0,0.4185557365417481,17.0,4534727
2,12.0,8.0,5.0,7.0,0.3226887583732605,13.571428571428573,4534727
3,405.0,128.0,129.0,346.0,0.2517852266001175,18.586345381526105,4534727
1,14.0,3.0,4.0,6.0,0.4208583980798721,8.666666666666666,4804804
2,49.0,13.0,15.0,25.0,0.2727803578972817,14.04,4804804
3,1163.0,235.0,225.0,746.0,0.23048112605237026,19.405179615705933,4804804
1,15.0,5.0,4.0,8.0,0.2024481687694788,22.25,4541109
2,100.0,20.0,19.0,64.0,0.20405410785996725,16.174603174603178,4541109
3,810.0,152.0,117.0,493.0,0.2227367865987986,18.269565217391303,4541109
1,18.0,3.0,4.0,8.0,0.475964080542326,15.625,5758237
2,124.0,25.0,19.0,47.0,0.31183963889877003,15.145833333333336,5758237
3,342.0,62.0,55.0,204.0,0.2737906982418564,17.45777777777778,5758237
1,20.0,5.0,5.0,7.0,0.3116973063775471,18.142857142857142,6244215
2,41.0,12.0,14.0,83.0,0.22278038914813555,16.546511627906977,6244215
3,92.0,13.0,15.0,114.0,0.3658669258169737,17.799007444168733,6244215
1,8.0,3.0,3.0,3.0,0.2674112021923065,37.0,4765754
