"","patent_id","num_citations"
"1",3953566,1086
"2",3971065,909
"3",4092732,1077
"4",4100324,1051
"5",4179337,1464
"6",4200770,959
"7",4235238,938
"8",4313124,1478
"9",4327725,1121
"10",4331277,926
"11",4340563,1179
"12",4345262,1505
"13",4346164,1061
"14",4349921,1199
"15",4376110,924
"16",4382441,952
"17",4396139,881
"18",4402445,1016
"19",4405829,1200
"20",4425908,1273
"21",4429695,1276
"22",4448419,977
"23",4458066,930
"24",4459600,1435
"25",4463359,1753
"26",4473077,894
"27",4480910,953
"28",4485816,1146
"29",4494950,1358
"30",4503569,946
"31",4505414,1142
"32",4509852,889
"33",4512338,921
"34",4520817,1047
"35",4545374,1106
"36",4545382,864
"37",4548202,1554
"38",4558333,1527
"39",4558413,1025
"40",4566620,1003
"41",4576167,899
"42",4580568,1538
"43",4582324,1060
"44",4605001,944
"45",4606343,1000
"46",4608981,1006
"47",4610383,1350
"48",4624459,938
"49",4633874,1068
"50",4646722,1045
"51",4652998,876
"52",4655771,1882
"53",4658085,1952
"54",4658093,926
"55",4663220,894
"56",4664305,939
"57",4665906,1778
"58",4669473,876
"59",4671288,1090
"60",4671445,1145
"61",4674044,1203
"62",4683195,3789
"63",4683202,4347
"64",4695053,1133
"65",4703756,1118
"66",4706121,1481
"67",4719917,1079
"68",4723129,1932
"69",4723549,905
"70",4728020,1175
"71",4731726,1497
"72",4733665,2912
"73",4739762,1291
"74",4740796,1645
"75",4741330,965
"76",4741336,873
"77",4752024,1113
"78",4754909,981
"79",4757022,1047
"80",4759769,900
"81",4769292,1340
"82",4772287,879
"83",4776337,1380
"84",4787899,944
"85",4799156,1936
"86",4800159,1252
"87",4800882,1393
"88",4803625,938
"89",4805823,865
"90",4809695,1126
"91",4816567,2781
"92",4817847,887
"93",4827508,1089
"94",4827911,880
"95",4834757,1100
"96",4837798,867
"97",4856516,1173
"98",4856787,1245
"99",4863476,964
"100",4864618,1028
"101",4869415,879
"102",4871351,960
"103",4873978,873
"104",4878906,1120
"105",4878915,909
"106",4880015,1056
"107",4886062,1509
"108",4892244,1050
"109",4901307,1462
"110",4903201,1140
"111",4922905,898
"112",4930674,1019
"113",4931047,1058
"114",4940464,942
"115",4941623,902
"116",4944443,901
"117",4946778,1618
"118",4949187,931
"119",4953552,1215
"120",4954126,957
"121",4965188,1500
"122",4969880,1053
"123",4976711,922
"124",4977455,1003
"125",4977594,866
"126",4978049,1065
"127",4992940,1370
"128",4993068,914
"129",4994069,1080
"130",4994071,1045
"131",5005122,946
"132",5008853,970
"133",5014899,866
"134",5015227,886
"135",5015247,1137
"136",5019090,899
"137",5019974,1008
"138",5021059,897
"139",5034506,924
"140",5040715,1378
"141",5041129,1042
"142",5042707,1359
"143",5043736,934
"144",5050612,1253
"145",5051736,952
"146",5056109,940
"147",5059193,1135
"148",5064435,1282
"149",5065929,1283
"150",5071430,1011
"151",5074454,879
"152",5077665,1100
"153",5084057,1228
"154",5086385,1071
"155",5092866,901
"156",5100396,864
"157",5100423,966
"158",5101353,1133
"159",5101814,887
"160",5102417,1059
"161",5103459,1622
"162",5104025,1067
"163",5108420,903
"164",5111987,917
"165",5129570,1214
"166",5132992,869
"167",5133732,900
"168",5136501,1194
"169",5139513,896
"170",5141144,887
"171",5143854,1571
"172",5155591,871
"173",5156315,899
"174",5156609,924
"175",5163131,1025
"176",5165407,1167
"177",5171247,973
"178",5171249,882
"179",5172338,1125
"180",5179517,867
"181",5190517,998
"182",5192301,977
"183",5192327,1127
"184",5197649,870
"185",5199428,867
"186",5205459,1200
"187",5209747,1127
"188",5217457,1035
"189",5220501,1630
"190",5221036,923
"191",5222963,925
"192",5223409,1627
"193",5223844,1415
"194",5225539,1078
"195",5227874,936
"196",5234447,990
"197",5242457,1098
"198",5244462,878
"199",5246156,898
"200",5246443,881
"201",5247190,1556
"202",5247347,912
"203",5247575,946
"204",5258031,900
"205",5261893,907
"206",5262035,936
"207",5262305,973
"208",5263629,1028
"209",5264104,1175
"210",5271543,956
"211",5271544,869
"212",5272236,1048
"213",5276860,913
"214",5276867,1065
"215",5277201,969
"216",5278272,869
"217",5279294,922
"218",5281216,985
"219",5282829,909
"220",5285945,1024
"221",5289963,1087
"222",5297031,954
"223",5297032,1069
"224",5299571,1011
"225",5304204,924
"226",5304719,1582
"227",5307263,1161
"228",5307976,1230
"229",5309927,983
"230",5312023,1466
"231",5318221,1128
"232",5320725,897
"233",5321501,903
"234",5321816,905
"235",5322063,990
"236",5326013,877
"237",5330502,1162
"238",5331966,1028
"239",5332142,984
"240",5332402,917
"241",5334183,1166
"242",5334193,1080
"243",5335657,981
"244",5339799,969
"245",5342047,1121
"246",5342376,870
"247",5342395,885
"248",5342396,871
"249",5347632,1188
"250",5347653,944
"251",5348554,967
"252",5350400,860
"253",5352229,961
"254",5353121,1044
"255",5356786,1097
"256",5357276,890
"257",5366479,1013
"258",5367109,1594
"259",5368015,931
"260",5370675,1012
"261",5370685,884
"262",5374277,997
"263",5374564,976
"264",5376095,871
"265",5383880,1349
"266",5383888,876
"267",5383917,983
"268",5389098,1381
"269",5390671,1274
"270",5391199,916
"271",5391250,1262
"272",5392979,934
"273",5393057,1143
"274",5395030,1162
"275",5395033,1066
"276",5395312,1005
"277",5397046,922
"278",5397324,1153
"279",5403311,1120
"280",5403312,1866
"281",5405344,927
"282",5408409,872
"283",5410326,1201
"284",5411508,1181
"285",5411552,1264
"286",5411647,1057
"287",5413268,870
"288",5415334,1119
"289",5415661,953
"290",5417210,987
"291",5417361,954
"292",5425745,1184
"293",5429361,1091
"294",5433721,1551
"295",5437651,936
"296",5438302,1014
"297",5441193,921
"298",5443463,1020
"299",5445934,1020
"300",5452837,989
"301",5454101,928
"302",5454827,999
"303",5464650,957
"304",5465206,888
"305",5465894,876
"306",5465895,1319
"307",5467911,1124
"308",5470010,861
"309",5471515,886
"310",5474566,1044
"311",5477012,1035
"312",5478003,958
"313",5478354,1083
"314",5479268,935
"315",5480089,990
"316",5480409,1022
"317",5482197,1020
"318",5483261,1262
"319",5484095,1087
"320",5484437,944
"321",5484451,1152
"322",5485474,986
"323",5485947,1095
"324",5485952,997
"325",5487499,1125
"326",5487500,1052
"327",5488204,1342
"328",5489058,1081
"329",5489256,863
"330",5490505,863
"331",5493692,1093
"332",5496312,1515
"333",5496317,1090
"334",5497772,1292
"335",5497933,1295
"336",5500012,912
"337",5503320,1004
"338",5503638,878
"339",5505730,891
"340",5507288,1192
"341",5514180,934
"342",5518163,1074
"343",5518164,1106
