,inventor,related,hops,sim
0,fl:f_ln:tanaka-2,fl:s_ln:komatsu-31,1,18.755382175349
1,fl:f_ln:tanaka-2,fl:t_ln:matono-2,1,18.9965348808848
2,fl:f_ln:tanaka-2,fl:k_ln:katsumata-4,1,21.529578571247
3,fl:f_ln:tanaka-2,fl:k_ln:inata-2,1,19.5466356624238
4,fl:f_ln:tanaka-2,fl:h_ln:komi-1,1,19.6371222907775
5,fl:f_ln:tanaka-2,fl:s_ln:torikoshi-2,1,20.746479659802
6,fl:f_ln:tanaka-2,fl:f_ln:tanaka-2,0,20.475471301034
7,fl:f_ln:tanaka-2,fl:r_ln:toya-1,1,20.247034565459398
8,fl:f_ln:tanaka-2,fl:m_ln:oku-7,1,18.8620752844602
9,fl:f_ln:tanaka-2,fl:m_ln:hisanaga-1,1,20.033775567954997
10,fl:f_ln:tanaka-2,fl:t_ln:eda-4,2,17.0119924112993
11,fl:f_ln:tanaka-2,fl:y_ln:yamamoto-51,2,16.9401163149331
12,fl:f_ln:tanaka-2,fl:s_ln:sei-2,2,16.809771419705196
13,fl:f_ln:tanaka-2,fl:s_ln:takashimizu-1,2,16.154685487498398
14,fl:f_ln:tanaka-2,fl:s_ln:iimuro-2,2,16.3949285427138
15,fl:f_ln:tanaka-2,fl:t_ln:watanabe-32,2,
16,fl:f_ln:tanaka-2,fl:m_ln:okada-50,2,
17,fl:f_ln:tanaka-2,fl:t_ln:uenaka-1,3,
18,fl:f_ln:tanaka-2,fl:t_ln:matsushima-1,3,
19,fl:f_ln:tanaka-2,fl:a_ln:tsuruoka-1,3,
20,fl:f_ln:tanaka-2,fl:t_ln:nakagawa-98,3,
21,fl:f_ln:tanaka-2,fl:h_ln:obaishi-1,3,
22,fl:f_ln:tanaka-2,fl:j_ln:matsui-2,3,
0,fl:s_ln:roskowski-3,fl:d_ln:drako-1,1,17.200535866908464
1,fl:s_ln:roskowski-3,fl:j_ln:hefti-2,1,
2,fl:s_ln:roskowski-3,fl:h_ln:yu-176,2,15.47354979944281
0,fl:w_ln:hsiao-58,fl:s_ln:honey-2,1,17.43736244678108
1,fl:w_ln:hsiao-58,fl:j_ln:mcguffin-3,1,19.400565269390817
2,fl:w_ln:hsiao-58,fl:m_ln:white-14,1,18.399669558419557
3,fl:w_ln:hsiao-58,fl:w_ln:hsiao-58,0,18.6346627172328
4,fl:w_ln:hsiao-58,fl:r_ln:cavallaro-1,1,18.72087884074964
5,fl:w_ln:hsiao-58,fl:k_ln:meier-4,1,19.23173770881072
6,fl:w_ln:hsiao-58,fl:j_ln:gloudemans-2,1,19.11881857871288
0,fl:n_ln:zerbe-1,fl:d_ln:lotocky-2,1,12.90677310635662
1,fl:n_ln:zerbe-1,fl:t_ln:james-23,1,16.91351241204143
2,fl:n_ln:zerbe-1,fl:n_ln:zerbe-1,0,12.51988418531742
3,fl:n_ln:zerbe-1,fl:h_ln:patel-55,1,12.42332131250738
4,fl:n_ln:zerbe-1,fl:r_ln:cocchi-2,1,14.181361631610738
5,fl:n_ln:zerbe-1,fl:j_ln:carpenter-51,1,13.961052736965584
6,fl:n_ln:zerbe-1,fl:r_ln:arsenault-6,1,15.01472282808081
7,fl:n_ln:zerbe-1,fl:h_ln:basse-2,1,14.709080665135131
8,fl:n_ln:zerbe-1,fl:a_ln:jijina-1,1,14.03085042106267
