,inventor,related,hops,sim
0,fl:s_ln:magar-3,fl:e_ln:caudel-1,1,0.9983699036573819
1,fl:s_ln:magar-3,fl:s_ln:magar-3,0,1.0
6,fl:s_ln:magar-3,fl:r_ln:simpson-68,2,0.48640663032203424
28,fl:s_ln:magar-3,fl:d_ln:fisher-54,3,0.23635213118465637
42,fl:s_ln:magar-3,fl:t_ln:kato-152,3,0.26817190156354176
55,fl:s_ln:magar-3,fl:k_ln:guttag-1,3,0.4596809638625561
89,fl:s_ln:magar-3,fl:j_ln:nicolai-5,3,0.5308418294853299
110,fl:s_ln:magar-3,fl:f_ln:dunlap-3,3,0.11125871128783116
112,fl:s_ln:magar-3,fl:s_ln:kinnear-1,3,0.35572586291023045
113,fl:s_ln:magar-3,fl:d_ln:williams-72,3,0.3697492967979952
114,fl:s_ln:magar-3,fl:r_ln:bealkowski-1,3,0.34410674984980216
115,fl:s_ln:magar-3,fl:r_ln:liverman-1,3,0.35632371487159786
116,fl:s_ln:magar-3,fl:r_ln:dayan-2,3,0.36478529138038795
117,fl:s_ln:magar-3,fl:d_ln:doria-2,3,0.35585776618723197
118,fl:s_ln:magar-3,fl:j_ln:krantz-5,3,0.3515670662271779
119,fl:s_ln:magar-3,fl:g_ln:vaiskauckas-1,3,0.35825879974434427
120,fl:s_ln:magar-3,fl:g_ln:sotomayor-1,3,0.3608215269953171
131,fl:s_ln:magar-3,fl:h_ln:suzuki-33,3,0.39261867798642225
152,fl:s_ln:magar-3,fl:m_ln:asal-4,2,0.4863585959475296
173,fl:s_ln:magar-3,fl:k_ln:balmer-1,2,0.46124347717618797
208,fl:s_ln:magar-3,fl:r_ln:fleck-4,3,0.33522529086033415
368,fl:s_ln:magar-3,fl:b_ln:ferren-1,3,0.3094369318206237
437,fl:s_ln:magar-3,fl:d_ln:culler-1,3,0.3929745024378548
512,fl:s_ln:magar-3,fl:t_ln:suzuki-270,3,0.5777453556668546
603,fl:s_ln:magar-3,fl:y_ln:nakatsuka-3,3,0.6332858136653651
613,fl:s_ln:magar-3,fl:g_ln:papadopoulos-2,3,0.3905126770120595
630,fl:s_ln:magar-3,fl:k_ln:kamizawa-2,3,0.3171488216718026
631,fl:s_ln:magar-3,fl:t_ln:murakami-50,3,0.31230721614466406
797,fl:s_ln:magar-3,fl:i_ln:robertson-1,2,0.4711143311076814
798,fl:s_ln:magar-3,fl:j_ln:littleton-4,2,0.4759155242245632
799,fl:s_ln:magar-3,fl:j_ln:nye-16,2,0.47213389519821236
