,inventor,related,hops,sim
0,fl:c_ln:kelson-1,fl:s_ln:singh-166,1,0.9996900622919912
1,fl:c_ln:kelson-1,fl:r_ln:hughes-49,1,0.9986696247373777
2,fl:c_ln:kelson-1,fl:n_ln:giacomini-1,1,0.998972157863501
3,fl:c_ln:kelson-1,fl:m_ln:jakeway-1,1,0.9990972825279631
4,fl:c_ln:kelson-1,fl:w_ln:gary-3,1,0.9987295904332613
5,fl:c_ln:kelson-1,fl:c_ln:kelson-1,0,1.0
6,fl:c_ln:kelson-1,fl:a_ln:artis-1,1,0.9992730326393219
92,fl:c_ln:kelson-1,fl:e_ln:choi-129,3,0.2550231095820841
93,fl:c_ln:kelson-1,fl:s_ln:park-847,3,0.243541367875586
0,fl:a_ln:zamfir-2,fl:a_ln:drimbarean-2,1,0.9753061052690232
1,fl:a_ln:zamfir-2,fl:e_ln:steinberg-2,1,0.9647411392820311
2,fl:a_ln:zamfir-2,fl:p_ln:corcoran-11,1,0.928700545986731
3,fl:a_ln:zamfir-2,fl:p_ln:bigioi-1,1,0.9615515871189143
4,fl:a_ln:zamfir-2,fl:a_ln:zamfir-2,0,1.0
7,fl:a_ln:zamfir-2,fl:m_ln:gaubatz-1,3,0.5490495508179751
8,fl:a_ln:zamfir-2,fl:a_ln:gaash-1,3,0.5679479925405139
9,fl:a_ln:zamfir-2,fl:m_ln:ismael-1,3,0.5866459764119895
10,fl:a_ln:zamfir-2,fl:y_ln:prilutsky-2,1,0.985219609528155
11,fl:a_ln:zamfir-2,fl:p_ln:blgiol-1,2,0.9589574911744895
24,fl:a_ln:zamfir-2,fl:a_ln:capata-1,1,0.9773352778489927
25,fl:a_ln:zamfir-2,fl:v_ln:poenaru-1,1,0.9820090051836501
26,fl:a_ln:zamfir-2,fl:t_ln:kondo-120,3,0.4453503298505602
33,fl:a_ln:zamfir-2,fl:c_ln:vertan-1,1,0.9896106359997956
34,fl:a_ln:zamfir-2,fl:s_ln:petrescu-2,1,0.968406873536274
35,fl:a_ln:zamfir-2,fl:e_ln:david-5,1,0.9845106268424808
41,fl:a_ln:zamfir-2,fl:s_ln:laszlo-1,3,0.562262815914956
42,fl:a_ln:zamfir-2,fl:d_ln:rogers-26,3,0.5641193020928873
43,fl:a_ln:zamfir-2,fl:a_ln:pososin-1,1,0.9885808449210629
52,fl:a_ln:zamfir-2,fl:k_ln:umeda-27,3,0.6239799422266771
56,fl:a_ln:zamfir-2,fl:c_ln:florea-3,1,0.970325462182597
57,fl:a_ln:zamfir-2,fl:a_ln:vasiliu-1,1,0.9766962001627588
58,fl:a_ln:zamfir-2,fl:r_ln:mulryan-1,1,0.9608229442895799
59,fl:a_ln:zamfir-2,fl:g_ln:costache-1,1,0.9769493955325177
60,fl:a_ln:zamfir-2,fl:m_ln:gangea-1,1,0.9504251089989832
61,fl:a_ln:zamfir-2,fl:s_ln:mehra-11,1,0.9734849495901114
62,fl:a_ln:zamfir-2,fl:f_ln:nanu-1,1,0.9782587269505185
64,fl:a_ln:zamfir-2,fl:f_ln:albu-1,1,0.9772616059097197
65,fl:a_ln:zamfir-2,fl:a_ln:zamflr-1,1,0.9583151172937865
66,fl:a_ln:zamfir-2,fl:m_ln:ciuc-1,1,0.9866806241304771
67,fl:a_ln:zamfir-2,fl:r_ln:nicolau-1,1,0.9212552175972392
68,fl:a_ln:zamfir-2,fl:p_ln:stec-3,1,0.9474241026567624
69,fl:a_ln:zamfir-2,fl:i_ln:barcovschi-1,1,0.9511240917063251
70,fl:a_ln:zamfir-2,fl:l_ln:murray-31,1,0.9582666895131001
71,fl:a_ln:zamfir-2,fl:s_ln:fulop-2,1,0.9122522736668307
