,inventor,related,hops,sim
0,fl:i_ln:takei-2,fl:t_ln:itoh-42,1,0.9994858325247076
1,fl:i_ln:takei-2,fl:j_ln:sato-23,1,0.9993381044666638
8,fl:i_ln:takei-2,fl:i_ln:takei-2,0,1.0
9,fl:i_ln:takei-2,fl:d_ln:ido-2,1,0.9997386485858167
13,fl:i_ln:takei-2,fl:t_ln:yamaguchi-100,1,0.9995943068919123
34,fl:i_ln:takei-2,fl:y_ln:sato-101,2,0.6863413122922973
116,fl:i_ln:takei-2,fl:k_ln:adachi-65,2,0.48523174666293456
200,fl:i_ln:takei-2,fl:s_ln:suzuki-234,2,0.6088784458130814
263,fl:i_ln:takei-2,fl:a_ln:yamamoto-15,2,0.5927873119189612
343,fl:i_ln:takei-2,fl:y_ln:tanaka-118,2,0.5403874532308578
390,fl:i_ln:takei-2,fl:h_ln:yoshida-68,2,0.6258805993410242
434,fl:i_ln:takei-2,fl:k_ln:okumoto-9,2,0.6546410462135368
443,fl:i_ln:takei-2,fl:h_ln:taoka-2,2,0.6208793757841284
444,fl:i_ln:takei-2,fl:b_ln:toji-1,2,0.6251820145045933
445,fl:i_ln:takei-2,fl:t_ln:tezuka-27,2,0.6305157993078051
545,fl:i_ln:takei-2,fl:w_ln:hill-18,3,0.6583768538923005
547,fl:i_ln:takei-2,fl:d_ln:meltzer-5,3,0.612520916555433
550,fl:i_ln:takei-2,fl:t_ln:murakami-50,3,0.6758846371628381
559,fl:i_ln:takei-2,fl:j_ln:hassell-10,3,0.5839145865172458
560,fl:i_ln:takei-2,fl:e_ln:knudson-1,3,0.5925848699925795
562,fl:i_ln:takei-2,fl:m_ln:ellis-29,3,0.5742108955276974
563,fl:i_ln:takei-2,fl:r_ln:knee-1,3,0.5826820519700382
564,fl:i_ln:takei-2,fl:s_ln:reynolds-59,3,0.5888272767602398
566,fl:i_ln:takei-2,fl:s_ln:kadono-4,3,0.5387854818646178
612,fl:i_ln:takei-2,fl:g_ln:flake-2,3,0.5647411217108209
674,fl:i_ln:takei-2,fl:r_ln:fioravanti-1,3,0.5271402277819104
675,fl:i_ln:takei-2,fl:c_ln:segulja-1,3,0.5262070125542448
676,fl:i_ln:takei-2,fl:g_ln:zygmunt-1,3,0.3852371802310832
685,fl:i_ln:takei-2,fl:s_ln:sherman-24,3,0.45066716821551966
686,fl:i_ln:takei-2,fl:g_ln:rohrabaugh-1,3,0.45210690412232
687,fl:i_ln:takei-2,fl:e_ln:porter-25,3,0.6667209775960122
688,fl:i_ln:takei-2,fl:s_ln:kaasila-1,3,0.6645766764968258
689,fl:i_ln:takei-2,fl:r_ln:eggers-2,3,0.6661639607397362
0,fl:j_ln:herzog-1,fl:k_ln:laby-2,1,0.9932432210667612
8,fl:j_ln:herzog-1,fl:y_ln:wang-395,1,0.997243419100177
9,fl:j_ln:herzog-1,fl:c_ln:jordan-3,1,0.9959284709609898
10,fl:j_ln:herzog-1,fl:j_ln:southard-7,1,0.9941976538007221
12,fl:j_ln:herzog-1,fl:d_ln:uecker-1,2,0.6254617748098251
35,fl:j_ln:herzog-1,fl:j_ln:herzog-1,0,1.0
36,fl:j_ln:herzog-1,fl:m_ln:pinter-4,1,0.9953155441095204
38,fl:j_ln:herzog-1,fl:b_ln:miller-103,1,0.9951676370309099
39,fl:j_ln:herzog-1,fl:a_ln:mangaser-1,1,0.9956422820704413
49,fl:j_ln:herzog-1,fl:t_ln:wright-78,1,0.9970313386737093
50,fl:j_ln:herzog-1,fl:l_ln:medus-1,1,0.9925970648917118
51,fl:j_ln:herzog-1,fl:j_ln:kearns-2,1,0.997804126590944
52,fl:j_ln:herzog-1,fl:m_ln:chan-84,1,0.9955129969403126
53,fl:j_ln:herzog-1,fl:j_ln:ballantyne-8,1,0.9974770020295253
54,fl:j_ln:herzog-1,fl:d_ln:roe-13,1,0.9974693131052517
55,fl:j_ln:herzog-1,fl:c_ln:wong-60,1,0.9975803532791971
56,fl:j_ln:herzog-1,fl:o_ln:taka-1,1,0.9972711265157211
57,fl:j_ln:herzog-1,fl:g_ln:brallier-1,1,0.9908462999507007
58,fl:j_ln:herzog-1,fl:b_ln:whitney-6,1,0.99549894880739
59,fl:j_ln:herzog-1,fl:j_ln:rosenthal-13,1,0.9962390590116911
60,fl:j_ln:herzog-1,fl:j_ln:chan-160,1,0.9905699226910689
61,fl:j_ln:herzog-1,fl:c_ln:lambrecht-3,1,0.9936072217165369
62,fl:j_ln:herzog-1,fl:s_ln:ross-79,1,0.9928770013497826
63,fl:j_ln:herzog-1,fl:h_ln:reynolds-16,2,0.9938633488269121
64,fl:j_ln:herzog-1,fl:k_ln:temby-1,1,0.9951777162262453
65,fl:j_ln:herzog-1,fl:d_ln:sanchez-6,1,0.9956362443297818
66,fl:j_ln:herzog-1,fl:e_ln:rauhut-1,2,0.9951759556793447
67,fl:j_ln:herzog-1,fl:c_ln:lambrecht-4,2,0.9927937603465475
68,fl:j_ln:herzog-1,fl:t_ln:farlow-1,2,0.9969506880380695
69,fl:j_ln:herzog-1,fl:f_ln:lai-14,1,0.9962862042490245
70,fl:j_ln:herzog-1,fl:k_ln:hanrahan-3,1,0.9950503722729004
71,fl:j_ln:herzog-1,fl:t_ln:wright-42,1,0.9977975658370615
72,fl:j_ln:herzog-1,fl:d_ln:walters-61,1,0.9959791049706417
73,fl:j_ln:herzog-1,fl:c_ln:herzog-1,1,0.9961940029285853
74,fl:j_ln:herzog-1,fl:d_ln:habecker-1,1,0.994628286441309
75,fl:j_ln:herzog-1,fl:j_ln:bouganim-1,1,0.9956256052795652
76,fl:j_ln:herzog-1,fl:a_ln:young-41,1,0.9972051023305052
78,fl:j_ln:herzog-1,fl:r_ln:karandikar-1,1,0.9978661214305802
79,fl:j_ln:herzog-1,fl:d_ln:stuart-20,2,0.9944909477611729
80,fl:j_ln:herzog-1,fl:b_ln:rizzi-1,1,0.9980456471472499
81,fl:j_ln:herzog-1,fl:y_ln:lurie-1,1,0.9973496056819258
82,fl:j_ln:herzog-1,fl:m_ln:ng-7,1,0.9983237386414483
128,fl:j_ln:herzog-1,fl:d_ln:sanchez-23,2,0.6283159991927743
246,fl:j_ln:herzog-1,fl:g_ln:wang-234,3,0.6418413564906703
394,fl:j_ln:herzog-1,fl:j_ln:hendricks-22,3,0.6089502120177223
687,fl:j_ln:herzog-1,fl:y_ln:yoshida-88,3,0.7936929124380271
871,fl:j_ln:herzog-1,fl:s_ln:kang-248,3,0.5912014492659038
873,fl:j_ln:herzog-1,fl:m_ln:uyttendaele-3,3,0.6524761247054106
1033,fl:j_ln:herzog-1,fl:s_ln:kaasila-1,3,0.7926266171344533
1034,fl:j_ln:herzog-1,fl:e_ln:porter-25,3,0.786150945773307
1035,fl:j_ln:herzog-1,fl:j_ln:collins-104,3,0.7846985109500988
41,fl:t_ln:harada-97,fl:s_ln:yamazaki-100,3,0.6018285223767574
49,fl:t_ln:harada-97,fl:t_ln:harada-97,0,1.0
84,fl:t_ln:harada-97,fl:k_ln:ikeda-39,1,0.9994828088568021
85,fl:t_ln:harada-97,fl:m_ln:kabe-1,1,0.999642729173541
86,fl:t_ln:harada-97,fl:a_ln:sakaigawa-1,1,0.9996551822252234
90,fl:t_ln:harada-97,fl:c_ln:kim-308,3,0.5311373583520389
91,fl:t_ln:harada-97,fl:w_ln:choe-6,3,0.5207386968440678
92,fl:t_ln:harada-97,fl:s_ln:lee-429,3,0.5150192004266638
93,fl:t_ln:harada-97,fl:g_ln:izumi-2,3,0.3420609737276117
94,fl:t_ln:harada-97,fl:s_ln:jinta-1,3,0.3430982019590183
95,fl:t_ln:harada-97,fl:m_ln:miller-119,3,0.6239647633385267
96,fl:t_ln:harada-97,fl:a_ln:arnold-20,3,0.625935706473383
97,fl:t_ln:harada-97,fl:m_ln:murdoch-2,3,0.628459373600532
98,fl:t_ln:harada-97,fl:p_ln:kane-7,3,0.6251409623655932
99,fl:t_ln:harada-97,fl:s_ln:endrikhovski-1,3,0.6295765511730165
218,fl:t_ln:harada-97,fl:h_ln:kaneko-22,2,0.3161703840358674
223,fl:t_ln:harada-97,fl:s_ln:tanaka-176,3,0.3208321264796179
224,fl:t_ln:harada-97,fl:c_ln:tanaka-19,3,0.3259597453792762
225,fl:t_ln:harada-97,fl:m_ln:horiguchi-17,3,0.32625088651323997
226,fl:t_ln:harada-97,fl:k_ln:kobayashi-128,3,0.3285623830988994
227,fl:t_ln:harada-97,fl:t_ln:uehara-24,3,0.3232313387307848
235,fl:t_ln:harada-97,fl:k_ln:nakamura-71,2,0.5960546170952038
314,fl:t_ln:harada-97,fl:h_ln:sato-81,3,0.5213759968618619
325,fl:t_ln:harada-97,fl:h_ln:hasegawa-37,2,0.5588101190552298
368,fl:t_ln:harada-97,fl:j_ln:koyama-9,3,0.621155155449032
409,fl:t_ln:harada-97,fl:y_ln:suzuki-107,2,0.6050909269064735
420,fl:t_ln:harada-97,fl:g_ln:katsuyama-2,3,0.6087040302739163
423,fl:t_ln:harada-97,fl:k_ln:uh-1,3,0.4654032671051964
424,fl:t_ln:harada-97,fl:j_ln:park-380,3,0.46858112347624925
426,fl:t_ln:harada-97,fl:j_ln:lee-333,3,0.4740399025014317
432,fl:t_ln:harada-97,fl:r_ln:cok-1,3,0.6130339753014961
492,fl:t_ln:harada-97,fl:s_ln:morein-2,3,0.466663367505773
507,fl:t_ln:harada-97,fl:a_ln:kikuchi-5,3,0.4660904079025606
582,fl:t_ln:harada-97,fl:j_ln:hwang-393,3,0.6577660346504121
623,fl:t_ln:harada-97,fl:d_ln:lindsay-3,3,0.47380648479801035
630,fl:t_ln:harada-97,fl:b_ln:miller-103,3,0.7229354370444951
634,fl:t_ln:harada-97,fl:j_ln:griffin-60,3,0.6429576139867421
657,fl:t_ln:harada-97,fl:t_ln:nakamura-198,3,0.6609966767611224
751,fl:t_ln:harada-97,fl:t_ln:tanaka-191,3,0.4567972076219986
809,fl:t_ln:harada-97,fl:k_ln:silverbrook-2,3,0.40649231996259116
1070,fl:t_ln:harada-97,fl:h_ln:okazaki-13,3,0.5249715142135348
1073,fl:t_ln:harada-97,fl:m_ln:park-227,3,0.47185236619355364
1076,fl:t_ln:harada-97,fl:a_ln:fitzhugh-2,3,0.5062073782209108
1084,fl:t_ln:harada-97,fl:s_ln:forstall-1,3,0.6731854775030829
1085,fl:t_ln:harada-97,fl:b_ln:ording-1,3,0.6805789940005809
1087,fl:t_ln:harada-97,fl:i_ln:chaudhri-2,3,0.6677417382288569
1088,fl:t_ln:harada-97,fl:s_ln:lemay-1,3,0.6701177334035311
1098,fl:t_ln:harada-97,fl:t_ln:cherna-1,3,0.48735716070754864
1099,fl:t_ln:harada-97,fl:t_ln:narita-44,2,0.6031714631996572
