,inventor,related,hops,sim
0,fl:a_ln:oleson-4,fl:c_ln:honeyman-2,1,0.9996076499663399
1,fl:a_ln:oleson-4,fl:r_ln:paolini-1,1,0.9991660558548154
8,fl:a_ln:oleson-4,fl:a_ln:oleson-4,0,1.0
9,fl:a_ln:oleson-4,fl:t_ln:whitesides-2,1,0.9995037709590682
13,fl:a_ln:oleson-4,fl:g_ln:danner-1,1,0.999347359751254
32,fl:a_ln:oleson-4,fl:r_ln:zehner-2,1,0.446730425512071
64,fl:a_ln:oleson-4,fl:j_ln:atkinson-37,2,0.998556039832349
65,fl:a_ln:oleson-4,fl:s_ln:telfer-2,2,0.9987575617289317
66,fl:a_ln:oleson-4,fl:a_ln:bouchard-3,2,0.9982280911621358
75,fl:a_ln:oleson-4,fl:p_ln:drzaic-1,2,0.49947936701364637
91,fl:a_ln:oleson-4,fl:k_ln:crounse-1,2,0.9968529145017392
122,fl:a_ln:oleson-4,fl:d_ln:harrington-28,2,0.9967124592785779
123,fl:a_ln:oleson-4,fl:m_ln:aprea-3,2,0.9971464136838072
132,fl:a_ln:oleson-4,fl:m_ln:hack-8,2,0.37440575644623264
134,fl:a_ln:oleson-4,fl:e_ln:van veenendaal-1,2,0.423249766021752
150,fl:a_ln:oleson-4,fl:h_ln:lewbel-1,2,0.4516684243198579
151,fl:a_ln:oleson-4,fl:h_ln:letourneur-1,2,0.4521178512612778
152,fl:a_ln:oleson-4,fl:s_ln:dylewski-1,2,0.43676012894612415
153,fl:a_ln:oleson-4,fl:r_ln:fernandez-33,2,0.44796850474352323
154,fl:a_ln:oleson-4,fl:j_ln:mccormack-25,2,0.44851217021117185
155,fl:a_ln:oleson-4,fl:n_ln:awad-2,2,0.45119469537848333
195,fl:a_ln:oleson-4,fl:t_ln:kobayashi-106,3,0.6503310267362981
196,fl:a_ln:oleson-4,fl:h_ln:tamura-40,3,0.6439127104805767
272,fl:a_ln:oleson-4,fl:h_ln:mori-29,3,0.40855724742808386
279,fl:a_ln:oleson-4,fl:j_ln:lu-247,3,0.4207604021750986
282,fl:a_ln:oleson-4,fl:m_ln:schnee-2,3,0.48458913651068847
283,fl:a_ln:oleson-4,fl:x_ln:zhu-131,3,0.4892036733295869
298,fl:a_ln:oleson-4,fl:y_ln:liu-925,3,0.4322076598351956
326,fl:a_ln:oleson-4,fl:h_ln:seetzen-1,3,0.37953277496303683
