root,combination,inventor,assignee,location
4409344,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4409344,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4409344,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4722689,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4722689,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4722689,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4585478,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4585478,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4585478,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5179398,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5179398,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5179398,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6101000,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6101000,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6101000,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4902922,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4902922,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4902922,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5400586,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5400586,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5400586,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6178830,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6178830,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6178830,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4972559,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4972559,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4972559,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6268950,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6268950,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6268950,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5697559,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5697559,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5697559,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4196374,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4196374,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4196374,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4679705,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4679705,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4679705,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4933662,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4933662,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4933662,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5918756,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5918756,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5918756,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5625899,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5625899,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5625899,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5294124,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5294124,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5294124,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5417006,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5417006,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5417006,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4214830,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4214830,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4214830,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4421681,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4421681,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4421681,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4937778,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4937778,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4937778,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4925492,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4925492,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4925492,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4765754,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4765754,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4765754,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5464124,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5464124,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5464124,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5865533,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5865533,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5865533,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5853245,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5853245,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5853245,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4380745,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4380745,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4380745,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6289482,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6289482,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6289482,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5288010,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5288010,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5288010,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4493394,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4493394,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4493394,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4616277,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4616277,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4616277,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6039637,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6039637,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6039637,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6037591,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6037591,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6037591,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6021209,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6021209,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6021209,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4423770,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4423770,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4423770,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5832796,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5832796,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5832796,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5464157,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5464157,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5464157,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5935199,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5935199,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5935199,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4864097,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4864097,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4864097,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5232738,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5232738,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5232738,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5374049,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5374049,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5374049,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5765220,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5765220,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5765220,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4638820,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4638820,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4638820,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5707877,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5707877,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5707877,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6092903,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6092903,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6092903,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4657256,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4657256,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4657256,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5187685,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5187685,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5187685,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5173354,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5173354,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5173354,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4886628,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4886628,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4886628,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4253803,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4253803,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4253803,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
4268148,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
4268148,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
4268148,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6070393,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6070393,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6070393,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5683322,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5683322,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5683322,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5658754,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
5658754,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
5658754,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
6084741,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
6084741,"(1, 2)",0.02789832610043397,0.05063291139240506,0.05514705882352941
6084741,"(0, 2)",0.0012730744748567788,0.00974025974025974,0.007547169811320755
5107846,"(0, 1)",0.03,0.10714285714285714,0.1111111111111111
