inventor_id,patent_id,patent_date,num_citations,team_size,count_cumulative_inv,count_cumulative_assignee,new_inventor,new_assignee
151eh25cg6vxrbv0ws37ap73w,5179517,726818400.0,867.0,4,4,1,4,1
2v8lf38ec7i7ju6yoh1m2r3w1,5710887,885276000.0,1594.0,11,11,1,11,1
3b87n45c393xbs20rzr009jyr,5165407,722584800.0,1167.0,7,7,1,7,1
4fc74yy2t1l1yxaupwzifh0zk,5523520,833864400.0,3899.0,2,2,1,2,1
6axve4k099srymqrbtra9fomd,6676660,1073973600.0,918.0,6,6,1,6,1
6hw9yh6lrhc96j9jkppbfwrds,4817847,607669200.0,887.0,2,2,1,2,1
8f6qizg7oyn593a59oprf4w9u,5710887,885276000.0,1594.0,11,11,1,11,1
9c8k0sc8pv4x7d8bw8qm9514i,5669918,874990800.0,889.0,2,2,1,2,1
a054aqp4t51a5hqzpsa2a97ka,4674044,550818000.0,1203.0,4,4,1,4,1
a1rsc5f907vrg9popyxy7hd7n,5629981,863499600.0,939.0,1,1,1,1,1
amw90qc46zk48rtix5tsldz8q,6964363,1132034400.0,1175.0,2,2,1,2,1
clkxgs0wc61gv5size5z8ddbp,4200770,325832400.0,959.0,3,3,1,3,1
cm3rvpzzj2wkwbrvskaaenhv2,5588581,852012000.0,1063.0,5,5,1,5,1
f2831awpzeec5b70nnzbtfmli,5890156,922773600.0,889.0,5,5,1,5,1
fl:a_ln:alim-1,5752644,895554000.0,1010.0,4,4,1,4,1
fl:a_ln:alim-1,5911353,929422800.0,949.0,4,4,1,0,0
fl:a_ln:alli-3,5487499,822981600.0,1125.0,2,2,1,2,1
fl:a_ln:alli-3,5709334,885276000.0,827.0,2,2,1,0,0
fl:a_ln:alli-3,5776110,899787600.0,30.0,2,3,1,1,0
fl:a_ln:alli-3,5918791,931237200.0,1079.0,2,3,1,0,0
fl:a_ln:alli-3,6109500,967525200.0,1150.0,7,9,1,6,0
fl:a_ln:alli-3,6905480,1118725200.0,70.0,4,12,2,3,1
fl:a_ln:alli-3,7331947,1203400800.0,27.0,4,12,2,0,0
fl:a_ln:alli-3,7344518,1205816400.0,8.0,4,12,2,0,0
fl:a_ln:annadata-1,6577726,1055221200.0,1154.0,4,4,1,4,1
fl:a_ln:annadata-1,6732100,1083646800.0,0.0,5,7,1,3,0
fl:a_ln:annadata-1,6973175,1133848800.0,2.0,4,7,1,0,0
fl:a_ln:annadata-1,7103171,1157432400.0,128.0,3,9,1,2,0
fl:a_ln:annadata-1,7245714,1184648400.0,0.0,4,9,1,0,0
fl:a_ln:annadata-1,7308093,1197352800.0,13.0,3,9,1,0,0
fl:a_ln:annadata-1,7313798,1198562400.0,1.0,3,9,1,0,0
fl:a_ln:annadata-1,7315616,1199167200.0,20.0,4,10,1,1,0
fl:a_ln:annadata-1,7505577,1237266000.0,2.0,3,11,1,1,0
fl:a_ln:annadata-1,7581230,1251176400.0,22.0,3,12,1,1,0
fl:a_ln:annadata-1,7673241,1267509600.0,11.0,4,14,1,2,0
fl:a_ln:annadata-1,7788679,1283230800.0,5.0,3,14,1,0,0
fl:a_ln:annadata-1,8045698,1319518800.0,0.0,4,14,1,0,0
fl:a_ln:annadata-1,8091042,1325570400.0,4.0,5,14,1,0,0
fl:a_ln:annadata-1,8230112,1343106000.0,0.0,4,16,1,2,0
fl:a_ln:annadata-1,8365205,1359439200.0,4.0,3,16,1,0,0
fl:a_ln:annadata-1,8601492,1386050400.0,0.0,3,16,1,0,0
