,inventor,related,hops,sim
0,fl:c_ln:lin-1315,fl:y_ln:shan-33,1,0.9994555129693973
2,fl:c_ln:lin-1315,fl:h_ln:kao-87,1,0.9996144406395905
14,fl:c_ln:lin-1315,fl:y_ln:yu-329,1,0.9993612641058779
20,fl:c_ln:lin-1315,fl:c_ln:lin-1315,0,1.0
77,fl:c_ln:lin-1315,fl:x_ln:zheng-171,2,0.45102113684343026
107,fl:c_ln:lin-1315,fl:c_ln:huang-843,2,0.5108254506886035
110,fl:c_ln:lin-1315,fl:c_ln:yang-344,2,0.49877681544451213
111,fl:c_ln:lin-1315,fl:h_ln:wang-6,2,0.5178037481620825
112,fl:c_ln:lin-1315,fl:k_ln:yang-36,2,0.5096725855239511
113,fl:c_ln:lin-1315,fl:m_ln:hadiputro-1,2,0.5072042217470043
114,fl:c_ln:lin-1315,fl:k_ln:chao-16,2,0.5124697158441833
115,fl:c_ln:lin-1315,fl:s_ln:lin-127,2,0.5051775583473112
126,fl:c_ln:lin-1315,fl:k_ln:hua-5,3,0.5113734746362093
185,fl:c_ln:lin-1315,fl:a_ln:yamashita-29,3,0.6236370563870959
187,fl:c_ln:lin-1315,fl:y_ln:mori-75,3,0.6390999650174238
188,fl:c_ln:lin-1315,fl:s_ln:kinoshita-21,3,0.6294262512723763
189,fl:c_ln:lin-1315,fl:m_ln:inoue-54,3,0.6268704102559968
190,fl:c_ln:lin-1315,fl:s_ln:tanase-1,3,0.6335898619822683
233,fl:c_ln:lin-1315,fl:m_ln:hsieh-63,2,0.45533508340374995
234,fl:c_ln:lin-1315,fl:c_ln:hsieh-141,2,0.45634711156249375
236,fl:c_ln:lin-1315,fl:m_ln:tsai-102,2,0.44762371474654294
237,fl:c_ln:lin-1315,fl:c_ln:chang-343,3,0.44269308172245037
286,fl:c_ln:lin-1315,fl:t_ln:takemoto-23,3,0.5080143793831503
287,fl:c_ln:lin-1315,fl:r_ln:iida-10,3,0.4985439918158381
288,fl:c_ln:lin-1315,fl:s_ln:daly-10,3,0.48615030386905067
311,fl:c_ln:lin-1315,fl:h_ln:hwang-148,3,0.3798330915471657
0,fl:h_ln:ledebohm-1,fl:p_ln:johnson-4,1,0.9852736544578272
1,fl:h_ln:ledebohm-1,fl:l_ln:yu-81,1,0.9817476429865469
6,fl:h_ln:ledebohm-1,fl:l_ln:mimberg-1,2,0.9625639826259561
7,fl:h_ln:ledebohm-1,fl:r_ln:jatou-1,1,0.9624925756931544
8,fl:h_ln:ledebohm-1,fl:a_ln:de waal-1,1,0.8567640413171841
9,fl:h_ln:ledebohm-1,fl:a_ln:tamasi-1,1,0.9263177198587966
10,fl:h_ln:ledebohm-1,fl:b_ln:kelleher-3,1,0.9680263850420858
11,fl:h_ln:ledebohm-1,fl:d_ln:reed-42,2,0.953489083515272
12,fl:h_ln:ledebohm-1,fl:j_ln:danskin-1,2,0.9084624710149005
13,fl:h_ln:ledebohm-1,fl:f_ln:diard-1,1,0.9776862105654796
14,fl:h_ln:ledebohm-1,fl:e_ln:kilgariff-1,2,0.8637255905028736
15,fl:h_ln:ledebohm-1,fl:w_ln:yamamoto-4,2,0.9536738591498864
16,fl:h_ln:ledebohm-1,fl:j_ln:alben-1,2,0.8451775782474912
17,fl:h_ln:ledebohm-1,kvlnplm2e5a0fegmbbk5wc7l3,2,0.8674040895902054
18,fl:h_ln:ledebohm-1,fl:d_ln:riach-1,2,0.8982317567497449
19,fl:h_ln:ledebohm-1,fl:b_ln:cory-2,2,0.8844615608081979
20,fl:h_ln:ledebohm-1,fl:c_ln:young-49,2,0.8889364851630174
21,fl:h_ln:ledebohm-1,fl:j_ln:montrym-1,2,0.8304994476447009
22,fl:h_ln:ledebohm-1,fl:m_ln:ogrinc-1,2,0.8718126512444553
23,fl:h_ln:ledebohm-1,fl:s_ln:scotzniovsky-1,2,0.8880396680501137
24,fl:h_ln:ledebohm-1,fl:j_ln:van dyke-5,2,0.8399450740276856
25,fl:h_ln:ledebohm-1,fl:w_ln:young-20,1,0.9970874353921437
26,fl:h_ln:ledebohm-1,fl:j_ln:browning-39,1,0.9938982280617997
27,fl:h_ln:ledebohm-1,fl:h_ln:ledebohm-1,0,1.0
30,fl:h_ln:ledebohm-1,fl:m_ln:diamond-12,1,0.9076555382432682
31,fl:h_ln:ledebohm-1,fl:h_ln:azar-1,1,0.9930415512931852
32,fl:h_ln:ledebohm-1,fl:i_ln:williams-10,1,0.993948188067814
34,fl:h_ln:ledebohm-1,fl:b_ln:hutsell-1,2,0.8849470196768242
35,fl:h_ln:ledebohm-1,fl:e_ln:boucher-2,2,0.9923847669868785
36,fl:h_ln:ledebohm-1,fl:r_ln:iwamoto-7,2,0.9630898598646308
38,fl:h_ln:ledebohm-1,fl:s_ln:treichler-1,2,0.8447849053290265
49,fl:h_ln:ledebohm-1,fl:j_ln:duluk-1,2,0.6218231751643466
52,fl:h_ln:ledebohm-1,fl:d_ln:kirkland-1,2,0.6400702667291841
55,fl:h_ln:ledebohm-1,fl:j_ln:rhoades-2,2,0.6279005954395063
56,fl:h_ln:ledebohm-1,fl:z_ln:hakura-1,2,0.5957177832031694
75,fl:h_ln:ledebohm-1,fl:s_ln:lew-3,2,0.7951438322149496
