from,to
4648,3379
4244,2324
2324,2111
2324,809
2677,2324
4244,2677
2677,2111
2677,809
4244,2111
2111,809
4244,809
2324,99
2818,2324
2818,99
1814,908
908,285
1814,285
1814,454
3713,454
3713,1814
2596,2251
3033,2251
3033,2596
1417,272
2594,2189
2594,1377
2594,1049
2189,1049
2189,1377
1377,1049
3428,83
5296,2227
2227,256
5296,256
4690,4118
4690,4000
4690,2000
4000,2000
4118,4000
4118,2000
3885,1252
4093,3885
4093,1252
2324,682
5594,577
5594,1241
1241,577
4996,1349
4996,1929
4996,2865
4996,2572
4996,3641
4996,4337
4996,3616
4996,1126
4996,4965
4996,2427
2865,1349
2865,1929
3641,2865
2865,1126
4337,2865
2865,2427
3616,2865
4965,2865
2865,2572
4337,1126
4337,1349
4337,1929
4965,4337
4337,3641
4337,2572
4337,2427
4337,3616
4965,2572
4965,3616
4965,3641
4965,1126
4965,2427
4965,1349
4965,1929
2572,2427
2427,1349
3616,2427
2427,1929
3641,2427
2427,1126
3616,1349
3616,1929
3616,1126
3616,2572
3641,3616
3641,1349
3641,2572
3641,1126
3641,1929
1349,1126
1929,1126
2572,1126
1929,1349
2572,1349
2572,1929
4993,4650
5101,3802
4792,3893
3893,3655
4792,3655
4747,284
284,238
2481,284
4747,2481
4747,238
2481,238
652,578
2111,1254
2324,1254
2677,1254
1254,809
4244,1254
4731,2409
3167,2409
4731,3167
5262,3422
3775,3422
5439,3422
5439,3775
5262,3775
5439,5262
2294,1415
1676,1415
3981,1415
4068,1415
1415,710
1676,710
3981,710
4068,710
2294,710
4068,1676
4068,3981
4068,2294
3981,1676
3981,2294
2294,1676
5166,2183
3761,1160
5006,1651
1651,1211
4174,1651
5006,4174
5006,1211
4174,1211
4455,3085
2355,2012
2201,2012
2355,2201
2012,412
2012,1011
2355,1011
2201,1011
5244,3669
5244,4658
5244,4539
5244,3186
5552,5244
4539,3186
4658,3186
3669,3186
5552,3186
4658,3669
5552,3669
4539,3669
5552,4658
4658,4539
5552,4539
3073,1265
1265,936
3370,1265
1265,1208
2753,1265
2077,1265
3532,1265
2630,1265
4580,1265
4580,2753
4580,1208
4580,3532
4580,3073
4580,3370
4580,936
4580,2077
4580,2630
3532,2753
3370,2753
3073,2753
2753,936
2753,1208
2753,2077
2753,2630
2077,1208
3073,1208
3370,1208
3532,1208
2630,1208
1208,936
3073,2630
3370,3073
3073,2077
3073,936
3532,3073
2630,936
3532,936
2077,936
3370,936
3370,2630
3532,2630
2630,2077
3532,3370
3532,2077
3370,2077
4119,736
4119,3019
4119,2574
4603,4119
4603,736
4603,2574
4603,3019
3019,2574
3019,736
2574,736
4603,1034
4119,1034
2574,1034
1034,736
5570,1112
2574,1112
2781,1112
4119,1112
5570,4119
5570,2781
5570,2574
2781,2574
4119,2781
4545,802
3660,802
3789,802
4545,3660
4545,3789
3789,3660
4552,277
4552,786
786,277
4190,2108
3871,856
2340,1486
1989,1486
2510,1486
2340,1989
2510,1989
2510,2340
4056,2641
4056,3216
3216,2641
2433,1906
3681,1906
3681,2433
3926,3878
4561,3878
3878,3512
4301,3878
4561,4301
4561,3512
4561,3926
4301,3926
4301,3512
3926,3512
4931,3213
3911,3213
3213,273
3213,1774
3213,1340
3911,1340
3911,273
3911,1774
4931,3911
4931,273
1340,273
1774,273
1774,1340
4931,1774
4931,1340
4704,4341
4341,3237
4704,3237
5073,1714
3896,1301
4704,3896
3896,2840
3896,1376
4828,3896
3896,1839
1839,1301
2840,1839
4828,1839
1839,1376
4704,1839
4828,4704
4704,2840
4704,1301
4704,1376
4828,1301
2840,1301
1376,1301
2840,1376
4828,1376
4828,2840
2120,989
4403,989
4403,2120
4051,1038
2871,1038
1038,906
4611,1038
5189,1038
5147,1038
1038,481
4963,1038
2614,1038
2614,481
4611,2614
4051,2614
5189,2614
4963,2614
2871,2614
2614,906
5147,2614
5189,4051
5189,481
5189,906
5189,4611
5189,2871
5189,4963
5189,5147
5147,481
906,481
4611,481
2871,481
4051,481
4963,481
4963,906
4963,4051
4963,4611
4963,2871
5147,4963
5147,4051
4611,4051
4051,2871
4051,906
4611,2871
2871,906
5147,2871
5147,906
5147,4611
4611,906
3961,517
2783,517
3961,618
618,517
4611,3037
4611,4259
4611,4148
4148,2871
4148,3037
4259,4148
4148,2614
4148,4051
4148,481
4259,481
3037,481
3037,2614
4051,3037
3037,2871
4259,3037
4259,4051
4259,2871
4259,2614
4624,2556
3419,2556
3853,2556
4677,2556
4661,2556
4661,4624
4677,4624
4624,3853
4624,3419
4677,4661
4661,3853
4661,3419
3853,3419
4677,3419
4677,3853
2871,1063
4963,1063
5189,1063
2614,1063
4051,1063
3068,2942
5129,1463
5129,2895
2895,1463
2286,129
5036,2286
2899,2286
2899,129
5036,129
5036,2899
2819,1354
3766,1841
3861,3766
3766,75
3861,1841
3861,75
1841,75
4056,196
4968,1565
3874,3520
3874,2902
3520,2902
4529,623
3039,288
1175,623
4076,3216
4076,4056
5412,584
152,104
1664,152
1664,104
4607,1144
4607,1664
1664,1144
1432,1057
1057,744
1432,744
4451,1551
2406,1791
1791,1125
2406,1125
1791,1219
2709,1664
2709,104
2709,152
3434,219
3851,3434
3851,219
1358,513
2709,1358
2709,513
4595,4394
1798,1664
4563,3254
3254,2886
3254,1471
2886,1471
4563,1471
4563,2886
1755,1664
1755,104
1755,152
3636,1755
3636,152
3636,1664
3636,104
4225,3798
5212,5006
5212,1651
2709,2643
4203,2643
4203,2709
3216,196
312,196
3216,312
4056,312
3945,1040
1991,1040
5136,1040
5136,1991
1315,1040
1040,1004
3208,1040
1315,1004
5136,1004
3208,1004
3208,1315
5136,3208
5136,1315
1119,1117
1991,1315
1991,1004
3208,1991
4526,2265
2265,765
4526,765
3208,1163
1163,1004
1315,1163
1163,1040
3888,1569
4526,1040
3888,1482
3888,2553
2553,1482
1950,1040
4945,3308
4945,4508
4945,1014
3308,1014
4508,1014
4508,3308
4004,3952
3952,1656
4004,1656
3060,1040
1972,1492
2117,1972
1972,1313
2117,1313
1492,1313
2117,1492
1115,196
4056,1115
5277,196
5624,4832
4832,3694
5624,3694
3533,196
5538,3216
1835,630
2304,1835
5391,1835
1835,1051
1835,474
1051,474
2304,474
630,474
5391,474
5391,1051
5391,2304
5391,630
2304,630
1051,630
2304,1051
5232,196
5232,1115
5053,3380
5436,5053
5436,3380
2446,1905
5436,2446
3380,2446
3380,1905
5436,1905
1960,490
1115,312
4381,1631
3692,1843
3472,1411
3472,2020
3472,2423
3472,2633
2633,1411
2633,2020
2633,2423
2423,2020
2423,1411
2020,1411
5067,2278
1915,163
3857,1915
3857,163
4110,977
4110,3591
5051,4110
5051,3591
3591,977
5051,977
3241,1664
2136,1664
3241,2136
5416,3230
3230,3128
4183,3230
3230,2381
4183,3128
