num_roots,num_fine_roots,num_patents,total_citation,avg_citation
4,8,25,1833,73.32
4,4,9,63,7.0
6,12,128,1170,9.140625
1,4,7,16,2.2857142857142856
2,3,20,70,3.5
2,2,7,101,14.428571428571429
3,5,35,460,13.142857142857142
5,13,93,1256,13.505376344086022
1,1,8,190,23.75
2,3,9,69,7.666666666666667
2,3,4,20,5.0
3,3,7,32,4.571428571428571
4,9,50,757,15.14
2,3,9,33,3.6666666666666665
1,1,2,3,1.5
1,1,8,48,6.0
3,5,10,47,4.7
1,1,4,88,22.0
4,7,17,223,13.117647058823529
1,1,4,27,6.75
2,4,24,1437,59.875
4,7,38,2611,68.71052631578948
1,3,6,236,39.333333333333336
1,5,181,863,4.767955801104972
3,4,42,166,3.9523809523809526
2,5,13,161,12.384615384615385
5,14,150,2990,19.933333333333334
5,9,18,130,7.222222222222222
3,6,242,7303,30.177685950413224
1,1,8,103,12.875
3,5,15,96,6.4
2,3,8,317,39.625
1,1,1,2,2.0
1,1,23,485,21.08695652173913
1,1,9,1146,127.33333333333333
5,16,112,1082,9.660714285714286
3,5,14,6423,458.7857142857143
3,3,8,18,2.25
3,7,79,1008,12.759493670886076
4,7,43,296,6.883720930232558
3,7,27,561,20.77777777777778
5,8,73,998,13.67123287671233
4,6,11,127,11.545454545454545
6,10,62,899,14.5
1,3,20,3961,198.05
4,7,54,390,7.222222222222222
5,6,12,322,26.833333333333332
2,2,9,532,59.111111111111114
4,6,24,119,4.958333333333333
2,3,10,158,15.8
5,22,306,3268,10.679738562091503
5,6,15,303,20.2
3,5,15,163,10.866666666666667
3,6,18,314,17.444444444444443
1,4,5,17,3.4
3,3,14,60,4.285714285714286
1,1,1,4,4.0
4,4,11,112,10.181818181818182
1,2,10,30,3.0
2,2,13,141,10.846153846153847
6,11,86,643,7.476744186046512
4,6,45,8689,193.0888888888889
1,1,1,14,14.0
2,2,5,53,10.6
3,3,3,40,13.333333333333334
5,8,57,277,4.859649122807017
1,1,4,14,3.5
3,4,11,204,18.545454545454547
3,4,9,49,5.444444444444445
2,2,11,300,27.272727272727273
2,5,11,194,17.636363636363637
4,7,53,784,14.79245283018868
3,3,14,143,10.214285714285714
3,5,19,191,10.052631578947368
4,11,77,1306,16.961038961038962
1,1,9,116,12.88888888888889
2,4,15,489,32.6
6,20,660,44244,67.03636363636363
2,3,24,522,21.75
6,20,62,1152,18.580645161290324
2,2,7,21,3.0
2,4,16,347,21.6875
1,1,1,4,4.0
1,2,44,640,14.545454545454545
3,3,6,805,134.16666666666666
2,3,6,44,7.333333333333333
2,2,8,52,6.5
1,1,1,24,24.0
2,2,2,4,2.0
4,15,258,4482,17.372093023255815
2,5,32,189,5.90625
2,2,3,10,3.3333333333333335
5,8,29,125,4.310344827586207
1,1,4,32,8.0
6,10,26,1435,55.19230769230769
3,5,38,539,14.18421052631579
4,4,7,27,3.857142857142857
4,7,8,318,39.75
6,23,109,2715,24.908256880733944
2,2,4,47,11.75
2,3,7,104,14.857142857142858
3,3,10,56,5.6
1,1,1,108,108.0
3,4,16,156,9.75
2,2,11,106,9.636363636363637
2,3,4,12,3.0
4,6,9,91,10.11111111111111
1,2,18,257,14.277777777777779
2,2,4,11,2.75
2,2,16,183,11.4375
3,4,10,64,6.4
1,1,1,2,2.0
1,1,1,1,1.0
2,2,6,64,10.666666666666666
3,4,10,21,2.1
5,6,12,193,16.083333333333332
1,3,6,38,6.333333333333333
2,4,70,2301,32.871428571428574
1,1,17,305,17.941176470588236
1,1,5,15,3.0
2,3,42,442,10.523809523809524
1,1,4,11,2.75
3,4,6,25,4.166666666666667
2,2,11,96,8.727272727272727
