index,assignee_id,patent_id,patent_date,nber,num_citation,nber_category,switch
22181,0002c937-3be3-498d-a07e-3b237bb9aed4,3930382,1976-01-06,53,7,5,0
22180,0002c937-3be3-498d-a07e-3b237bb9aed4,3938632,1976-02-17,53,12,5,0
22178,0002c937-3be3-498d-a07e-3b237bb9aed4,3978950,1976-09-07,53,6,5,0
22179,0002c937-3be3-498d-a07e-3b237bb9aed4,3978949,1976-09-07,53,7,5,0
22177,0002c937-3be3-498d-a07e-3b237bb9aed4,4311220,1982-01-19,53,3,5,0
22176,0002c937-3be3-498d-a07e-3b237bb9aed4,4522289,1985-06-11,53,8,5,0
22175,0002c937-3be3-498d-a07e-3b237bb9aed4,4546864,1985-10-15,53,5,5,0
22174,0002c937-3be3-498d-a07e-3b237bb9aed4,4548316,1985-10-22,59,23,5,0
22173,0002c937-3be3-498d-a07e-3b237bb9aed4,4662492,1987-05-05,53,13,5,0
22172,0002c937-3be3-498d-a07e-3b237bb9aed4,4721492,1988-01-26,53,6,5,0
22171,0002c937-3be3-498d-a07e-3b237bb9aed4,4798559,1989-01-17,53,4,5,0
22170,0002c937-3be3-498d-a07e-3b237bb9aed4,4809557,1989-03-07,43,12,4,1
22169,0002c937-3be3-498d-a07e-3b237bb9aed4,4838829,1989-06-13,53,4,5,1
22168,0002c937-3be3-498d-a07e-3b237bb9aed4,4856411,1989-08-15,53,4,5,1
14213,00160e1a-004a-4309-a869-d3254cd858c8,5927408,1999-07-27,64,5,6,0
14211,00160e1a-004a-4309-a869-d3254cd858c8,5931231,1999-08-03,64,93,6,0
14212,00160e1a-004a-4309-a869-d3254cd858c8,5931238,1999-08-03,64,46,6,0
14210,00160e1a-004a-4309-a869-d3254cd858c8,5956915,1999-09-28,69,7,6,0
14209,00160e1a-004a-4309-a869-d3254cd858c8,6047775,2000-04-11,64,20,6,0
14208,00160e1a-004a-4309-a869-d3254cd858c8,6168542,2001-01-02,53,3,5,1
14207,00160e1a-004a-4309-a869-d3254cd858c8,6317957,2001-11-20,52,8,5,1
14206,00160e1a-004a-4309-a869-d3254cd858c8,6467202,2002-10-22,64,24,6,1
14205,00160e1a-004a-4309-a869-d3254cd858c8,6591521,2003-07-15,64,7,6,1
14204,00160e1a-004a-4309-a869-d3254cd858c8,7024805,2006-04-11,64,8,6,1
14203,00160e1a-004a-4309-a869-d3254cd858c8,7096610,2006-08-29,64,19,6,1
14202,00160e1a-004a-4309-a869-d3254cd858c8,7174826,2007-02-13,53,23,5,1
14201,00160e1a-004a-4309-a869-d3254cd858c8,8342236,2013-01-01,64,3,6,1
14200,00160e1a-004a-4309-a869-d3254cd858c8,8362629,2013-01-29,45,9,4,2
6440,00254261-c5d4-4ad4-825b-f57aa58b8d5c,4700626,1987-10-20,69,3,6,0
6439,00254261-c5d4-4ad4-825b-f57aa58b8d5c,4942814,1990-07-24,69,3,6,0
6438,00254261-c5d4-4ad4-825b-f57aa58b8d5c,5172634,1992-12-22,69,7,6,0
6437,00254261-c5d4-4ad4-825b-f57aa58b8d5c,5317968,1994-06-07,69,4,6,0
6436,00254261-c5d4-4ad4-825b-f57aa58b8d5c,5458013,1995-10-17,59,1,5,1
6435,00254261-c5d4-4ad4-825b-f57aa58b8d5c,5531162,1996-07-02,69,2,6,1
6434,00254261-c5d4-4ad4-825b-f57aa58b8d5c,5775225,1998-07-07,69,14,6,1
6433,00254261-c5d4-4ad4-825b-f57aa58b8d5c,6851360,2005-02-08,69,3,6,1
5202,004ad217-deac-42ff-8a07-a584ed32ee47,4823247,1989-04-18,45,77,4,0
5201,004ad217-deac-42ff-8a07-a584ed32ee47,4835401,1989-05-30,44,3,4,0
5200,004ad217-deac-42ff-8a07-a584ed32ee47,4888672,1989-12-19,45,3,4,0
5199,004ad217-deac-42ff-8a07-a584ed32ee47,4901214,1990-02-13,45,6,4,0
5198,004ad217-deac-42ff-8a07-a584ed32ee47,5082998,1992-01-21,49,14,4,0
5197,004ad217-deac-42ff-8a07-a584ed32ee47,5086381,1992-02-04,45,3,4,0
5196,004ad217-deac-42ff-8a07-a584ed32ee47,5111372,1992-05-05,45,27,4,0
5195,004ad217-deac-42ff-8a07-a584ed32ee47,5171949,1992-12-15,49,12,4,0
5194,004ad217-deac-42ff-8a07-a584ed32ee47,5519306,1996-05-21,45,69,4,0
5193,004ad217-deac-42ff-8a07-a584ed32ee47,5680302,1997-10-21,45,11,4,0
5192,004ad217-deac-42ff-8a07-a584ed32ee47,5725103,1998-03-10,51,4,5,1
5191,004ad217-deac-42ff-8a07-a584ed32ee47,5896284,1999-04-20,45,17,4,1
5190,004ad217-deac-42ff-8a07-a584ed32ee47,6614042,2003-09-02,44,1,4,1
5189,004ad217-deac-42ff-8a07-a584ed32ee47,7173692,2007-02-06,43,6,4,1
5188,004ad217-deac-42ff-8a07-a584ed32ee47,7425125,2008-09-16,51,1,5,1
5187,004ad217-deac-42ff-8a07-a584ed32ee47,8074565,2011-12-13,61,1,6,2
10588,009dfbeb-609a-4940-bce7-2a87f84c99e6,3941327,1976-03-02,51,1,5,0
10587,009dfbeb-609a-4940-bce7-2a87f84c99e6,3967319,1976-06-29,24,3,2,1
10586,009dfbeb-609a-4940-bce7-2a87f84c99e6,4093148,1978-06-06,51,13,5,1
10585,009dfbeb-609a-4940-bce7-2a87f84c99e6,4099601,1978-07-11,53,15,5,1
10584,009dfbeb-609a-4940-bce7-2a87f84c99e6,4132607,1979-01-02,19,3,1,2
10583,009dfbeb-609a-4940-bce7-2a87f84c99e6,4217553,1980-08-12,41,6,4,3
10581,009dfbeb-609a-4940-bce7-2a87f84c99e6,4231629,1980-11-04,41,21,4,3
10582,009dfbeb-609a-4940-bce7-2a87f84c99e6,4231150,1980-11-04,52,1,5,3
10580,009dfbeb-609a-4940-bce7-2a87f84c99e6,4239992,1980-12-16,41,11,4,3
10579,009dfbeb-609a-4940-bce7-2a87f84c99e6,4241311,1980-12-23,41,8,4,3
10578,009dfbeb-609a-4940-bce7-2a87f84c99e6,4250463,1981-02-10,41,9,4,3
10576,009dfbeb-609a-4940-bce7-2a87f84c99e6,4260849,1981-04-07,41,14,4,3
10577,009dfbeb-609a-4940-bce7-2a87f84c99e6,4260907,1981-04-07,41,22,4,3
10575,009dfbeb-609a-4940-bce7-2a87f84c99e6,4279386,1981-07-21,51,4,5,3
10574,009dfbeb-609a-4940-bce7-2a87f84c99e6,4280646,1981-07-28,51,1,5,3
10573,009dfbeb-609a-4940-bce7-2a87f84c99e6,4284250,1981-08-18,51,4,5,3
10572,009dfbeb-609a-4940-bce7-2a87f84c99e6,4364678,1982-12-21,59,5,5,3
10571,009dfbeb-609a-4940-bce7-2a87f84c99e6,4390795,1983-06-28,49,1,4,3
10570,009dfbeb-609a-4940-bce7-2a87f84c99e6,4404680,1983-09-13,21,11,2,3
10569,009dfbeb-609a-4940-bce7-2a87f84c99e6,4415513,1983-11-15,51,6,5,3
10568,009dfbeb-609a-4940-bce7-2a87f84c99e6,4646322,1987-02-24,21,10,2,3
